order_id,account_id,merchant_id,amount,promo_code_used,refund_requested,order_time
ord_e884770e48,acct_d8e8_00_00,d8e8be4b-8407-447a-a2f1-2db069e45dc2,1301.24,,False,2026-08-18T02:48:41.221875
ord_68c040efb7,acct_d8e8_00_00,d8e8be4b-8407-447a-a2f1-2db069e45dc2,1989.49,WELCOME10,True,2026-08-18T20:46:41.221875
ord_e1c45a5d38,acct_d8e8_00_00,d8e8be4b-8407-447a-a2f1-2db069e45dc2,2431.21,,False,2026-08-18T12:46:41.221875
ord_ab5993a56f,acct_d8e8_00_01,d8e8be4b-8407-447a-a2f1-2db069e45dc2,2936.76,FLASH50,False,2026-08-17T15:09:41.221875
ord_31fdceecea,acct_d8e8_00_01,d8e8be4b-8407-447a-a2f1-2db069e45dc2,2665.81,,True,2026-08-17T18:21:41.221875
ord_6858fed66f,acct_d8e8_00_01,d8e8be4b-8407-447a-a2f1-2db069e45dc2,3833.95,FIRST15,True,2026-08-19T04:43:41.221875
ord_1da95148aa,acct_d8e8_00_01,d8e8be4b-8407-447a-a2f1-2db069e45dc2,1598.58,,False,2026-08-18T16:25:41.221875
ord_d6328dcb90,acct_d8e8_00_02,d8e8be4b-8407-447a-a2f1-2db069e45dc2,1558.47,WELCOME10,False,2026-08-17T19:56:41.221875
ord_b6913626a6,acct_d8e8_00_02,d8e8be4b-8407-447a-a2f1-2db069e45dc2,1937.78,,True,2026-08-19T09:36:41.221875
ord_45a81d22c9,acct_d8e8_00_02,d8e8be4b-8407-447a-a2f1-2db069e45dc2,4720.28,FREESHIP,True,2026-08-17T14:04:41.221875
ord_c35e7342ff,acct_d8e8_01_00,d8e8be4b-8407-447a-a2f1-2db069e45dc2,4001.69,SAVE20,False,2026-08-17T11:47:29.221875
ord_311f934cee,acct_d8e8_01_00,d8e8be4b-8407-447a-a2f1-2db069e45dc2,4944.94,FLAT100,False,2026-08-17T03:12:29.221875
ord_dadbd493cf,acct_d8e8_01_01,d8e8be4b-8407-447a-a2f1-2db069e45dc2,1429.94,FLASH50,True,2026-08-17T14:50:29.221875
ord_760120e49e,acct_d8e8_01_02,d8e8be4b-8407-447a-a2f1-2db069e45dc2,3400.65,MEGA30,False,2026-08-17T05:21:29.221875
ord_9615eefee4,acct_d8e8_01_02,d8e8be4b-8407-447a-a2f1-2db069e45dc2,3168.1,WELCOME10,True,2026-08-17T11:46:29.221875
ord_613a2eb4d7,acct_d8e8_01_02,d8e8be4b-8407-447a-a2f1-2db069e45dc2,3204.7,FLASH50,False,2026-08-16T23:58:29.221875
